TotalTime,Age,Gender,BreakfastToday,BreakfastUsually,HowHungry,TimeProposerInfo,TimeProposer,ProposedAmount,TimeResponderInfo,TimeResponder,TimeQ1,Q1,TimeQ2,Q2,TimeQ3,Q3,TimeQ4,Q4,TimeQ5,Q5,TimeQ6,Q6,TimeQ7,Q7,TimeQ8,Q8,QuestionsCorrect,LowestAcceptable,HighestAcceptable,UGFamiliar,QuestionsFamiliar,TotalQuestionTime,Condition,ProposerFirst,TotalProposerTime,TotalResponderTime,Cooperation,TotalCooperationTime,Condition.Name,TimeInfo
361,27,F,1,0,1,41.882,14.231,5,62.896,48.27,17.117,0,18.559,0,20.329,0,16.994,0,10.941,0,25.148,0,23.95,0,28.969,0,0,5,10,0,0,162.007,1,0,56.113,111.166,10,167.279,Breakfast,104.778
767,52,F,1,1,5,10.914,44.052,7,117.823,83.177,48.867,0,56.951,0,80.256,0,64.24,0,38.076,0,45.249,0,92.325,0,46.086,0,0,3,7,0,0,472.05,1,0,54.966,201,10,255.966,Breakfast,128.737
573,34,F,1,1,7,23.238,26.027,4.5,78.115,67.046,22.297,0,80.037,0,50.34,1,56.953,0,25.031,0,31.638,0,36.799,1,40.475,0,0.25,4,10,0,0,343.57,1,0,49.265,145.161,8.5,194.426,Breakfast,101.353
1041,65,M,0,1,6,76.663,16.471,5,96.015,99.811,154.047,1,67.221,0,124.742,0,114.294,1,50.393,0,46.226,1,89.994,0,71.083,0,0.375,0.5,10,0,0,718,0,0,93.134,195.826,5.5,288.96,No Breakfast,172.678
981,17,F,0,1,7,26.516,48.684,5,73.078,202.217,57.326,1,72.085,1,136.175,1,149.292,0,12.547,0,22.772,1,100.758,1,39.798,0,0.625,0,8.5,0,0,590.753,0,0,75.2,275.295,5,350.495,No Breakfast,99.594
704,19,M,0,1,4,29.235,24.946,4,93.208,54.987,37.425,1,39.529,1,67.902,1,57.335,1,52.995,1,59.372,1,68.24,1,94.422,1,1,5,10,0,0,477.22,0,0,54.181,148.195,9,202.376,No Breakfast,122.443
381,70,F,0,1,6,25.309,15.679,3,45.242,48.253,14.561,1,40.925,1,15.611,0,38.445,1,16.639,1,26.82,0,38.914,0,24.614,0,0.5,5,10,0,1,216.529,0,0,40.988,93.495,8,134.483,No Breakfast,70.551
745,48,F,1,1,1,77.66,35.153,4,74.229,148.367,29.03,0,32.916,0,89.108,1,66.324,0,40.895,0,44.333,0,35.743,0,46.899,0,0.125,4,6,0,0,385.248,1,0,112.813,222.596,8,335.409,Breakfast,151.889
801,22,M,0,0,4,42.188,40.418,5,47.992,112.886,65.621,1,47.565,0,175.587,0,26.543,0,59.465,1,27.086,0,60.972,1,46.495,0,0.375,2,7,0,0,509.334,0,0,82.606,160.878,7,243.484,No Breakfast,90.18
672,62,M,0,0,8,53.965,14.578,2,38.296,110.427,24.08,0,49.737,0,25.447,0,81.182,1,21.401,0,101.062,1,55.93,1,57.779,1,0.5,5,8,1,1,416.618,0,0,68.543,148.723,7,217.266,No Breakfast,92.261
