"","UniqueGroup","Condition","Session","Individual","Group","Gender","BreakfastToday","BreakfastUsually","HowHungry","Q1","Q2","Q3","Q4P","Q5P","Q1NP","Q2NP","Q3NP","Contribution","Punishment.Sent","Punishment.Received","Initial.Payoff","Final.Payoff","Group.Contribution","Group.Share","Total.Payoff","Participant.Number","Punishment.First","Punishment.Round","Questions.Correct","Punishment.Questions.Correct","Non.Punishment.Questions.Correct","Trial.Number","Condition.Name","Experiment","Round","UniqueID","GroupHunger","Number.Breakfast","Correct.Trial.Number","Lagged.Contribution","Lagged.MCO","Lagged.Punished"
"1","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,8,"1","2","20",17,23,8,407,1,"Y","Y",1,1,1,1,"Breakfast","Original",1,"Original 1 32",4.25,2,1,NA,NA,0
"2","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,8,"2","0","19",17,20,7,407,1,"Y","Y",1,1,1,2,"Breakfast","Original",2,"Original 1 32",4.25,2,2,8,5,1
"3","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,5,"0","0","24",24,25,9,407,1,"Y","Y",1,1,1,3,"Breakfast","Original",3,"Original 1 32",4.25,2,3,8,4,0
"4","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,5,"1","0","22",21,20,7,407,1,"Y","Y",1,1,1,4,"Breakfast","Original",4,"Original 1 32",4.25,2,4,5,6.66666666666667,0
"5","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,0,"0","4","24",20,12,4,407,1,"Y","Y",1,1,1,5,"Breakfast","Original",5,"Original 1 32",4.25,2,5,5,5,0
"6","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,5,"0","0","21",21,17,6,407,1,"Y","Y",1,1,1,6,"Breakfast","Original",6,"Original 1 32",4.25,2,6,0,4,1
"7","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,2,"2","0","21",19,9,3,407,1,"Y","Y",1,1,1,7,"Breakfast","Original",7,"Original 1 32",4.25,2,7,5,4,0
"8","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,0,"1","0","22",21,7,2,407,1,"Y","Y",1,1,1,8,"Breakfast","Original",8,"Original 1 32",4.25,2,8,2,2.33333333333333,0
"9","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,0,"0","0","21",21,3,1,407,1,"Y","Y",1,1,1,9,"Breakfast","Original",9,"Original 1 32",4.25,2,9,0,2.33333333333333,0
"10","Original 1","1",1,"32",1,"M",1,1,5,1,1,1,1,1,1,1,1,0,"0","0","21",21,3,1,407,1,"Y","Y",1,1,1,10,"Breakfast","Original",10,"Original 1 32",4.25,2,10,0,1,0
