Condition,Session,Individual,Group,Gender,BreakfastToday,BreakfastUsually,HowHungry,Q1,Q2,Q3,Q4P,Q5P,Q1NP,Q2NP,Q3NP,Contribution,Punishment Sent,Punishment Received,Initial Payoff,Final Payoff,Group Contribution,Group Share,Total Payoff,Participant Number,Punishment First,Punishment Round,Questions Correct,Punishment Questions Correct,Non Punishment Questions Correct,Trial Number,Condition Name,TimeContribution,TimePunishment
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,1,2,12,24,10,13,5,422,17,Y,Y,1,1,1,1,No Breakfast,26,23
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,5,2,0,21,19,17,6,422,17,Y,Y,1,1,1,2,No Breakfast,6,13
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,5,2,2,23,19,24,8,422,17,Y,Y,1,1,1,3,No Breakfast,25,26
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,10,4,0,21,17,31,11,422,17,Y,Y,1,1,1,4,No Breakfast,4,24
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,10,1,0,23,22,38,13,422,17,Y,Y,1,1,1,5,No Breakfast,6,13
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,12,2,0,23,21,42,15,422,17,Y,Y,1,1,1,6,No Breakfast,20,26
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,11,1,3,26,22,48,17,422,17,Y,Y,1,1,1,7,No Breakfast,5,17
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,13,1,6,27,20,56,20,422,17,Y,Y,1,1,1,8,No Breakfast,8,17
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,15,0,6,30,24,70,25,422,17,Y,Y,1,1,1,9,No Breakfast,5,38
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,20,1,0,27,26,78,27,422,17,Y,Y,1,1,1,10,No Breakfast,4,13
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,26,17,6,422,17,Y,N,1,1,1,11,No Breakfast,13,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,23,8,3,422,17,Y,N,1,1,1,12,No Breakfast,4,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,1,-,-,-,21,5,2,422,17,Y,N,1,1,1,13,No Breakfast,5,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,22,5,2,422,17,Y,N,1,1,1,14,No Breakfast,5,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,23,7,3,422,17,Y,N,1,1,1,15,No Breakfast,3,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,3,-,-,-,21,12,4,422,17,Y,N,1,1,1,16,No Breakfast,5,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,24,10,4,422,17,Y,N,1,1,1,17,No Breakfast,4,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,21,2,1,422,17,Y,N,1,1,1,18,No Breakfast,3,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,1,-,-,-,21,4,2,422,17,Y,N,1,1,1,19,No Breakfast,5,NA
0,2,12,5,F,0,1,7,1,1,1,1,1,1,1,1,0,-,-,-,20,0,0,422,17,Y,N,1,1,1,20,No Breakfast,4,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,5,3,4,20,13,13,5,411,18,Y,Y,0.25,0,0.333333333,1,No Breakfast,31,26
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,2,0,10,24,14,17,6,411,18,Y,Y,0.25,0,0.333333333,2,No Breakfast,17,9
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,5,0,2,23,21,24,8,411,18,Y,Y,0.25,0,0.333333333,3,No Breakfast,6,9
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,10,0,0,21,21,31,11,411,18,Y,Y,0.25,0,0.333333333,4,No Breakfast,11,10
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,8,0,12,25,13,38,13,411,18,Y,Y,0.25,0,0.333333333,5,No Breakfast,5,10
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,10,0,3,25,22,42,15,411,18,Y,Y,0.25,0,0.333333333,6,No Breakfast,12,6
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,11,0,6,26,20,48,17,411,18,Y,Y,0.25,0,0.333333333,7,No Breakfast,10,7
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,13,0,9,27,18,56,20,411,18,Y,Y,0.25,0,0.333333333,8,No Breakfast,5,7
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,15,0,6,30,24,70,25,411,18,Y,Y,0.25,0,0.333333333,9,No Breakfast,9,6
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,20,0,0,27,27,78,27,411,18,Y,Y,0.25,0,0.333333333,10,No Breakfast,7,8
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,5,-,-,-,21,17,6,411,18,Y,N,0.25,0,0.333333333,11,No Breakfast,32,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,3,-,-,-,20,8,3,411,18,Y,N,0.25,0,0.333333333,12,No Breakfast,31,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,22,5,2,411,18,Y,N,0.25,0,0.333333333,13,No Breakfast,8,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,22,5,2,411,18,Y,N,0.25,0,0.333333333,14,No Breakfast,3,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,1,-,-,-,22,7,3,411,18,Y,N,0.25,0,0.333333333,15,No Breakfast,4,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,24,12,4,411,18,Y,N,0.25,0,0.333333333,16,No Breakfast,5,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,24,10,4,411,18,Y,N,0.25,0,0.333333333,17,No Breakfast,4,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,21,2,1,411,18,Y,N,0.25,0,0.333333333,18,No Breakfast,1,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,22,4,2,411,18,Y,N,0.25,0,0.333333333,19,No Breakfast,2,NA
0,2,29,5,F,0,1,3,0,1,0,0,0,0,1,0,0,-,-,-,20,0,0,411,18,Y,N,0.25,0,0.333333333,20,No Breakfast,2,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,0,6,23,17,13,5,411,19,Y,Y,1,1,1,1,No Breakfast,31,93
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,5,1,0,21,20,17,6,411,19,Y,Y,1,1,1,2,No Breakfast,24,58
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,10,0,0,18,18,24,8,411,19,Y,Y,1,1,1,3,No Breakfast,7,88
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,5,0,12,26,14,31,11,411,19,Y,Y,1,1,1,4,No Breakfast,13,12
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,10,1,0,23,22,38,13,411,19,Y,Y,1,1,1,5,No Breakfast,10,14
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,10,0,3,25,22,42,15,411,19,Y,Y,1,1,1,6,No Breakfast,7,8
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,12,2,0,25,23,48,17,411,19,Y,Y,1,1,1,7,No Breakfast,5,8
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,15,2,0,25,23,56,20,411,19,Y,Y,1,1,1,8,No Breakfast,6,9
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,20,2,0,25,23,70,25,411,19,Y,Y,1,1,1,9,No Breakfast,6,9
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,20,0,0,27,27,78,27,411,19,Y,Y,1,1,1,10,No Breakfast,4,13
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,-,-,-,24,17,6,411,19,Y,N,1,1,1,11,No Breakfast,16,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,0,-,-,-,23,8,3,411,19,Y,N,1,1,1,12,No Breakfast,10,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,-,-,-,20,5,2,411,19,Y,N,1,1,1,13,No Breakfast,6,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,5,-,-,-,17,5,2,411,19,Y,N,1,1,1,14,No Breakfast,4,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,5,-,-,-,18,7,3,411,19,Y,N,1,1,1,15,No Breakfast,4,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,5,-,-,-,19,12,4,411,19,Y,N,1,1,1,16,No Breakfast,5,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,-,-,-,22,10,4,411,19,Y,N,1,1,1,17,No Breakfast,4,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,-,-,-,19,2,1,411,19,Y,N,1,1,1,18,No Breakfast,4,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,2,-,-,-,20,4,2,411,19,Y,N,1,1,1,19,No Breakfast,4,NA
0,2,30,5,F,0,1,5,1,1,1,1,1,1,1,1,0,-,-,-,20,0,0,411,19,Y,N,1,1,1,20,No Breakfast,4,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,5,7,2,20,11,13,5,406,20,Y,Y,0.875,1,0.833333333,1,No Breakfast,44,79
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,5,2,0,21,19,17,6,406,20,Y,Y,0.875,1,0.833333333,2,No Breakfast,30,11
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,4,2,4,24,18,24,8,406,20,Y,Y,0.875,1,0.833333333,3,No Breakfast,10,55
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,6,1,3,25,21,31,11,406,20,Y,Y,0.875,1,0.833333333,4,No Breakfast,13,50
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,10,2,0,23,21,38,13,406,20,Y,Y,0.875,1,0.833333333,5,No Breakfast,4,8
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,10,0,0,25,25,42,15,406,20,Y,Y,0.875,1,0.833333333,6,No Breakfast,5,5
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,14,0,0,23,23,48,17,406,20,Y,Y,0.875,1,0.833333333,7,No Breakfast,10,8
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,15,2,0,25,23,56,20,406,20,Y,Y,0.875,1,0.833333333,8,No Breakfast,7,24
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,20,2,0,25,23,70,25,406,20,Y,Y,0.875,1,0.833333333,9,No Breakfast,4,7
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,18,0,3,29,26,78,27,406,20,Y,Y,0.875,1,0.833333333,10,No Breakfast,8,12
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,10,-,-,-,16,17,6,406,20,Y,N,0.875,1,0.833333333,11,No Breakfast,5,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,5,-,-,-,18,8,3,406,20,Y,N,0.875,1,0.833333333,12,No Breakfast,12,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,2,-,-,-,20,5,2,406,20,Y,N,0.875,1,0.833333333,13,No Breakfast,7,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,0,-,-,-,22,5,2,406,20,Y,N,0.875,1,0.833333333,14,No Breakfast,13,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,1,-,-,-,22,7,3,406,20,Y,N,0.875,1,0.833333333,15,No Breakfast,4,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,4,-,-,-,20,12,4,406,20,Y,N,0.875,1,0.833333333,16,No Breakfast,18,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,8,-,-,-,16,10,4,406,20,Y,N,0.875,1,0.833333333,17,No Breakfast,4,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,0,-,-,-,21,2,1,406,20,Y,N,0.875,1,0.833333333,18,No Breakfast,4,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,1,-,-,-,21,4,2,406,20,Y,N,0.875,1,0.833333333,19,No Breakfast,4,NA
0,2,28,5,F,0,1,5,0,1,1,1,1,1,1,1,0,-,-,-,20,0,0,406,20,Y,N,0.875,1,0.833333333,20,No Breakfast,10,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,2,8,9,27,10,27,9,380,21,Y,Y,1,1,1,1,No Breakfast,28,66
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,5,0,2,23,21,22,8,380,21,Y,Y,1,1,1,2,No Breakfast,10,17
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,0,0,18,26,8,18,6,380,21,Y,Y,1,1,1,3,No Breakfast,3,9
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,3,3,0,23,20,17,6,380,21,Y,Y,1,1,1,4,No Breakfast,13,15
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,2,0,20,18,10,4,380,21,Y,Y,1,1,1,5,No Breakfast,5,20
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,0,2,23,21,20,7,380,21,Y,Y,1,1,1,6,No Breakfast,6,6
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,1,2,23,20,19,7,380,21,Y,Y,1,1,1,7,No Breakfast,3,7
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,1,4,23,18,20,7,380,21,Y,Y,1,1,1,8,No Breakfast,10,6
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,5,7,0,21,14,16,6,380,21,Y,Y,1,1,1,9,No Breakfast,5,13
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,3,2,24,19,22,8,380,21,Y,Y,1,1,1,10,No Breakfast,4,9
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,10,-,-,-,21,30,11,380,21,Y,N,1,1,1,11,No Breakfast,36,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,10,-,-,-,19,25,9,380,21,Y,N,1,1,1,12,No Breakfast,4,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,5,-,-,-,21,17,6,380,21,Y,N,1,1,1,13,No Breakfast,3,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,0,-,-,-,23,8,3,380,21,Y,N,1,1,1,14,No Breakfast,4,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,8,-,-,-,18,18,6,380,21,Y,N,1,1,1,15,No Breakfast,5,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,3,-,-,-,22,14,5,380,21,Y,N,1,1,1,16,No Breakfast,5,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,1,-,-,-,22,9,3,380,21,Y,N,1,1,1,17,No Breakfast,4,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,2,-,-,-,22,11,4,380,21,Y,N,1,1,1,18,No Breakfast,3,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,4,-,-,-,20,10,4,380,21,Y,N,1,1,1,19,No Breakfast,4,NA
0,2,23,6,M,0,1,6,1,1,1,1,1,1,1,1,0,-,-,-,23,7,3,380,21,Y,N,1,1,1,20,No Breakfast,3,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,5,2,6,24,16,27,9,416,22,Y,Y,1,1,1,1,No Breakfast,9,33
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,10,0,6,18,12,22,8,416,22,Y,Y,1,1,1,2,No Breakfast,10,7
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,2,6,2,24,16,18,6,416,22,Y,Y,1,1,1,3,No Breakfast,5,19
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,4,2,2,22,18,17,6,416,22,Y,Y,1,1,1,4,No Breakfast,8,22
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,2,1,0,22,21,10,4,416,22,Y,Y,1,1,1,5,No Breakfast,6,9
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,5,2,0,22,20,20,7,416,22,Y,Y,1,1,1,6,No Breakfast,4,9
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,4,2,0,23,21,19,7,416,22,Y,Y,1,1,1,7,No Breakfast,4,9
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,1,1,6,26,19,20,7,416,22,Y,Y,1,1,1,8,No Breakfast,6,8
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,2,1,6,24,17,16,6,416,22,Y,Y,1,1,1,9,No Breakfast,5,30
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,5,1,2,23,20,22,8,416,22,Y,Y,1,1,1,10,No Breakfast,4,7
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,5,-,-,-,26,30,11,416,22,Y,N,1,1,1,11,No Breakfast,10,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,5,-,-,-,24,25,9,416,22,Y,N,1,1,1,12,No Breakfast,7,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,0,-,-,-,26,17,6,416,22,Y,N,1,1,1,13,No Breakfast,3,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,0,-,-,-,23,8,3,416,22,Y,N,1,1,1,14,No Breakfast,2,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,2,-,-,-,24,18,6,416,22,Y,N,1,1,1,15,No Breakfast,4,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,2,-,-,-,23,14,5,416,22,Y,N,1,1,1,16,No Breakfast,2,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,4,-,-,-,19,9,3,416,22,Y,N,1,1,1,17,No Breakfast,2,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,0,-,-,-,24,11,4,416,22,Y,N,1,1,1,18,No Breakfast,3,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,0,-,-,-,24,10,4,416,22,Y,N,1,1,1,19,No Breakfast,2,NA
0,2,13,6,M,0,1,8,1,1,1,1,1,1,1,1,0,-,-,-,23,7,3,416,22,Y,N,1,1,1,20,No Breakfast,2,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,15,3,4,14,7,27,9,361,23,Y,Y,0.25,0.5,0.166666667,1,No Breakfast,45,32
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,2,4,0,26,22,22,8,361,23,Y,Y,0.25,0.5,0.166666667,2,No Breakfast,14,14
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,0,2,20,18,18,6,361,23,Y,Y,0.25,0.5,0.166666667,3,No Breakfast,10,8
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,10,0,0,16,16,17,6,361,23,Y,Y,0.25,0.5,0.166666667,4,No Breakfast,28,13
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,0,0,8,24,16,10,4,361,23,Y,Y,0.25,0.5,0.166666667,5,No Breakfast,6,8
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,8,0,0,19,19,20,7,361,23,Y,Y,0.25,0.5,0.166666667,6,No Breakfast,4,5
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,9,0,0,18,18,19,7,361,23,Y,Y,0.25,0.5,0.166666667,7,No Breakfast,2,15
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,10,1,0,17,16,20,7,361,23,Y,Y,0.25,0.5,0.166666667,8,No Breakfast,4,10
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,0,0,20,20,16,6,361,23,Y,Y,0.25,0.5,0.166666667,9,No Breakfast,3,7
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,8,0,2,20,18,22,8,361,23,Y,Y,0.25,0.5,0.166666667,10,No Breakfast,6,13
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,10,-,-,-,21,30,11,361,23,Y,N,0.25,0.5,0.166666667,11,No Breakfast,5,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,0,-,-,-,29,25,9,361,23,Y,N,0.25,0.5,0.166666667,12,No Breakfast,3,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,11,-,-,-,15,17,6,361,23,Y,N,0.25,0.5,0.166666667,13,No Breakfast,13,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,-,-,-,17,8,3,361,23,Y,N,0.25,0.5,0.166666667,14,No Breakfast,6,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,8,-,-,-,18,18,6,361,23,Y,N,0.25,0.5,0.166666667,15,No Breakfast,15,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,8,-,-,-,17,14,5,361,23,Y,N,0.25,0.5,0.166666667,16,No Breakfast,2,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,2,-,-,-,21,9,3,361,23,Y,N,0.25,0.5,0.166666667,17,No Breakfast,3,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,-,-,-,18,11,4,361,23,Y,N,0.25,0.5,0.166666667,18,No Breakfast,3,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,-,-,-,18,10,4,361,23,Y,N,0.25,0.5,0.166666667,19,No Breakfast,3,NA
0,2,25,6,F,0,1,5,0,0,0,1,0,1,0,0,6,-,-,-,17,7,3,361,23,Y,N,0.25,0.5,0.166666667,20,No Breakfast,5,NA
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,5,0,6,24,18,27,9,404,24,Y,Y,0.875,0.5,1,1,No Breakfast,18,27
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,5,1,2,23,20,22,8,404,24,Y,Y,0.875,0.5,1,2,No Breakfast,14,28
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,10,4,4,16,8,18,6,404,24,Y,Y,0.875,0.5,1,3,No Breakfast,7,19
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,0,0,12,26,14,17,6,404,24,Y,Y,0.875,0.5,1,4,No Breakfast,4,9
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,4,1,0,20,19,10,4,404,24,Y,Y,0.875,0.5,1,5,No Breakfast,4,7
0,2,26,6,M,0,1,6,1,1,1,1,0,1,1,1,3,0,2,24,22,20,7,404,24,Y,Y,0.875,0.5,1,6,No Breakfast,5,8
