"omega1","lambda","gamma","pbeta"
0.716180228741384,0.159127724974333,0.385722639648987,0.588101986827118
0.160334098565399,0.0622595908060943,0.31564803984398,0.964000168372423
0.681990193244653,0.229168901513403,0.0905400306388574,0.498690866995866
0.10040913741889,0.106473217082836,0.109109879693005,0.588944921599341
0.37865263320203,0.199900087279308,0.278793089955566,0.640434650559893
0.147545119261539,0.405366247103592,0.0930084547542961,0.168434576347703
0.356809593998099,0.172941901304804,0.120449753176279,0.513020962388794
0.19734648748029,0.0878681401577174,0.591070973362128,0.798701307682447
0.906728949793402,0.0531813700737264,0.0406041177372538,0.989187876925132
0.172040150966146,0.0564866192146532,0.991816165517922,0.990324422327478
0.535209186512195,0.0496320902416159,0.27955171162414,0.986359430845493
0.928468054275101,0.140290867466426,0.0477159659640619,0.0612738648616277
0.178698322613798,0.0593768370080433,0.0435978916672175,0.983184673442228
0.901593397201407,0.0630551130157394,0.0683157452184292,0.951794927808592
0.939562193622274,0.115327150821509,0.0256125063002852,0.716186954813472
0.170916370577292,0.0578272374707509,0.680476286052705,0.848228811663357
0.218599309186193,0.0610472848155398,0.0562795627146149,0.992366334643233
0.0915497333052823,0.0516882663098859,0.0444128247879679,0.97845708283465
0.858492136177353,0.0497927263393436,0.0261671004540749,0.993134108725439
0.780442546884782,0.102645340739543,0.270036145886013,0.627568530881321
0.348467693831517,0.0516186857685682,0.0459622038077417,0.989721720862982
0.697201580270455,0.0575339302354784,0.0895552958529493,0.993351935791372
0.918709551076699,0.106269194423698,0.961844755967203,0.703836295969884
0.130128329941319,0.0549490882642163,0.291591803066143,0.983603336280725
0.101300376173208,0.0531408202510267,0.0561927951441601,0.9746155054648
0.518126702647775,0.0544129063679105,0.218193125242773,0.974037947778111
0.220154195000698,0.0594842708783408,0.280367596819371,0.9800855223123
0.348397903355082,0.0596197122295255,0.330864417386235,0.972291000599898
0.447989508598356,0.0631407934759365,0.130136669037037,0.962398146085074
0.903018719165172,0.0735942333870052,0.659452522677877,0.805119846955889
0.809936876672743,0.113187624236001,0.655051705719432,0.821179191323369
0.909052644379662,0.064550644560136,0.115648928093744,0.912444198477876
0.605023050592845,0.114707728885344,0.0830094266885981,0.729893452306245
0.888653009290104,0.0650718030745063,0.371107104258843,0.962651322730014
0.819020735692859,0.336655863673802,0.189297805231217,0.313118513745522
0.655478921425706,0.225862454833936,0.0807129161409682,0.552450665241601
0.152706845585589,0.0536727319537525,0.125611092033111,0.976104722926299
0.464878319921057,0.0594978932226855,0.0372575450427381,0.993056047660997
0.27580877982755,0.0596435504018704,0.965001924610087,0.993622224786838
0.899009240818774,0.062739253670624,0.195968518159641,0.988281160242636
0.904870606833276,0.0908996697522235,0.930496031368091,0.946747143026208
0.92572565877455,0.0772919557425431,0.16749413686666,0.936653737431419
0.570904934815835,0.0890473278049852,0.114122755659571,0.673899615145743
0.244507734997729,0.0519390867259531,0.783160041290184,0.984288480966711
0.284989198241601,0.0869864882527182,0.0766667373239105,0.62256984186038
0.227282647437291,0.0517830326349601,0.153646460565505,0.991222795793103
0.894156072119968,0.140666782827204,0.276951621933548,0.575104921228113
0.172484491830246,0.0599576640097268,0.828030841425642,0.992158110613376
0.273647568973865,0.0591883597158361,0.984269972123245,0.991972753753135
0.561568421355761,0.0731834426349589,0.149310951818023,0.766178106874245
0.402036451688895,0.0628203600812861,0.0646628544837864,0.975600253506663
0.682769635346397,0.0572862813015881,0.0850768341248795,0.985585424567344
0.544725843002285,0.0625051895425554,0.79672056416702,0.947336004495667
0.230354503480313,0.0826749443478694,0.0853780584512148,0.818403784627272
0.489160250532541,0.101537797717134,0.0853170372847101,0.632223839664846
0.520565385738781,0.0680675210094639,0.738215524723943,0.913168867976896
0.743548006565822,0.0573562962295826,0.0730499334093452,0.952791411988791
0.913945570059738,0.0521980687404448,0.0462145894560455,0.992413181684998
0.934293318249883,0.0546618741198542,0.0440689721038032,0.979063773687122
0.102920404850289,0.0551898829265031,0.0573979221320383,0.902040647167633
0.549563956302388,0.061994006986475,0.0824824834113365,0.9796718960963
0.215143113925956,0.053776204867644,0.0571753290411176,0.992751814913492
0.923905196246408,0.0659815587667843,0.0449085416523585,0.880729031534006
0.40433099372963,0.059940615674851,0.0489693066187418,0.990595472090758
0.801758039931881,0.0611722710204718,0.0562350737856651,0.94579607231572
0.254222223514189,0.0570827431842781,0.0504104972745907,0.992491128344776
0.135140934085395,0.057067353627377,0.0478124147001339,0.991251372096057
0.341314098041503,0.0599108566819052,0.0884098842628727,0.991857679930548
0.392383513809996,0.0622575383649019,0.312547483554522,0.905433244625472
0.723587240868932,0.0938875743868167,0.592010429666419,0.741290160660957
0.164981437101081,0.0564481260524751,0.925593358142186,0.963657997730237
0.447934188060339,0.0631718150175322,0.290800453133712,0.968335369176608
0.440713689051095,0.0539613671456423,0.063325625973694,0.979856611855924
0.831978729795521,0.0721207382258925,0.714325918441606,0.943853369222356
0.276078459990693,0.0572795006458662,0.222666734574139,0.973940703736736
0.901411146778522,0.0786582601179247,0.0866820406412297,0.825380895607914
0.609725025108523,0.0951157401943745,0.130017148504548,0.66491949711007
0.150549734257779,0.0596892546292475,0.993923062057226,0.991915805943518
0.0963237086466842,0.0568637380284069,0.960179770047999,0.96801444079216
0.0913292638950017,0.058450028108878,0.737498456790451,0.87980463183193
0.19828402213926,0.0558745899122502,0.912193770777492,0.979983307557136
0.198247574452757,0.0641486802100841,0.753950888854748,0.984369890086738
0.835372127804647,0.0653174421551859,0.482672264213793,0.955543466522941
0.0842733925936652,0.0704747532405032,0.620326462902586,0.736924329593785
0.139602014802992,0.100507845541734,0.179153328109542,0.146504831787324
0.170488249113786,0.105231900046883,0.121550484535813,0.255507411543977
0.0981048541022709,0.0955068734269212,0.137211438843115,0.866219902554301
0.119949263566167,0.0936905462555772,0.102641727891688,0.262512214787593
0.690172843803141,0.0633323507603324,0.0837919649118604,0.948924503341519
0.12964121589686,0.0586559155779029,0.104821397377206,0.871712599563684
0.916582694378467,0.054061681208859,0.104378713202672,0.99137484531182
0.273727669359956,0.0597617807879314,0.388756962209435,0.984790456167363
0.948331148977431,0.0617620580099143,0.0258433556158147,0.914794366448123
0.34372826754575,0.0599374593936273,0.0328105315082839,0.991070756616263
0.452653079370241,0.0520986000453169,0.0338183051603605,0.987865891714443
0.906600408663658,0.0604538649627085,0.477179936145187,0.992798799850356
0.913801198467264,0.0575748153948238,0.128428091524996,0.972343239358896
0.10159616293713,0.0613443291109271,0.16955752621604,0.995706344166758
0.940308360937371,0.173424516342665,0.0898965699583728,0.360590774406162
