"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Original 1",0.450554410822948,0.122313570803338,0.0712054468839386,0.832298915740955,1,"M",1,1,5,"Y",4.25,"Breakfast"
"Original 10",0.903408842979055,0.0713261636527316,0.284248472500431,0.883068681924539,1,"M",1,1,1,"Y",3.5,"Breakfast"
"Original 100",0.757445525563263,0.0715331548379815,0.836838451583803,0.935494421195327,0,"F",0,1,4,"N",7.25,"No Breakfast"
"Original 101",0.527635435793558,0.103585901734269,0.180070714329165,0.533766607193519,0,"M",0,1,4,"N",6.25,"No Breakfast"
"Original 102",0.426126411848937,0.0538398531455633,0.996559618895329,0.990664011783069,0,"M",0,1,8,"N",6.25,"No Breakfast"
"Original 103",0.3714496155503,0.11216281763146,0.329486661049569,0.525641207027157,0,"F",0,1,9,"N",6.25,"No Breakfast"
"Original 104",0.27766227781088,0.0844502183945648,0.146977414405144,0.638275484405431,0,"M",0,1,4,"N",6.25,"No Breakfast"
"Original 105",0.914365206332668,0.0574573451527012,0.715233888004047,0.990954528336003,0,"M",0,1,7,"N",5.75,"No Breakfast"
"Original 106",0.906115027714275,0.062987255298765,0.534159811373637,0.977922797860186,0,"F",0,0,7,"N",5.75,"No Breakfast"
"Original 107",0.978564490229958,0.162612794077537,0.601217272439552,0.0625764674691665,0,"M",0,0,5,"N",5.75,"No Breakfast"
"Original 108",0.616694538296287,0.151077028799384,0.332724417987364,0.522521707527499,0,"F",0,1,4,"N",5.75,"No Breakfast"
"Original 109",0.757670849584582,0.0737240524371068,0.289012296031043,0.942605840343169,0,"F",0,1,5,"N",4.75,"No Breakfast"
"Original 11",0.913200291932053,0.0570160113882978,0.965493952407511,0.987838112565415,1,"F",0,1,5,"Y",3.5,"Breakfast"
"Original 110",0.910914199019496,0.0786932490971474,0.170285231782058,0.959890024373977,0,"M",0,1,7,"N",4.75,"No Breakfast"
"Original 111",0.934894712732437,0.35877356832107,0.483003160532887,0.0696467781398071,0,"M",0,0,3,"N",4.75,"No Breakfast"
"Original 112",0.0904774784658539,0.549161231740025,0.937249938409141,0.0534887973321339,0,"F",0,1,4,"N",4.75,"No Breakfast"
"Original 113",0.0891147737170307,0.073608361642588,0.869236894085114,0.516666378864382,0,"M",0,1,5,"N",6.75,"No Breakfast"
"Original 114",0.142590326824485,0.0976662292472143,0.522780934049248,0.503381266557129,0,"F",0,1,5,"N",6.75,"No Breakfast"
"Original 115",0.940218766508636,0.191703483951462,0.350073963568045,0.586552139906479,0,"M",0,0,10,"N",6.75,"No Breakfast"
"Original 116",0.883898289714392,0.065351014846499,0.193064650134114,0.961417260853275,0,"F",0,1,7,"N",6.75,"No Breakfast"
"Original 117",0.633806679332163,0.214944827807622,0.0754025350523248,0.568031674075541,0,"M",0,1,8,"N",6.75,"No Breakfast"
"Original 118",0.207718361266875,0.522766196402019,0.0800667318231064,0.283474646354352,0,"M",0,0,9,"N",6.75,"No Breakfast"
"Original 119",0.378430549837579,0.345238211487574,0.177758683900708,0.417770902634874,0,"F",0,0,3,"N",6.75,"No Breakfast"
"Original 12",0.150459199417785,0.0681582628717783,0.935152652688745,0.974840969381442,1,"F",1,1,2,"Y",3.5,"Breakfast"
"Original 120",0.137985736131389,0.218998529291337,0.862749702266131,0.0850722220923042,0,"M",0,1,7,"N",6.75,"No Breakfast"
"Original 121",0.67802008165533,0.0543144495461283,0.988217844769913,0.980000386503737,0,"F",0,1,3,"N",5,"No Breakfast"
"Original 122",0.224004317879016,0.091141915510356,0.851834470158983,0.585749728348654,0,"F",0,1,9,"N",5,"No Breakfast"
"Original 123",0.354294918103679,0.188357457488423,0.9334348535332,0.431790904610497,0,"F",0,0,3,"N",5,"No Breakfast"
"Original 124",0.0788130561625297,0.0647693624671891,0.982497160355042,0.661597276588187,0,"M",0,1,5,"N",5,"No Breakfast"
"Original 125",0.908732169594879,0.0613661170401258,0.0530351306070324,0.966532048261522,1,"M",1,1,6,"N",4.25,"Breakfast"
"Original 126",0.929185845982887,0.109994929750032,0.894718849091176,0.926275249055723,1,"M",1,1,2,"N",4.25,"Breakfast"
"Original 127",0.675400163702734,0.0576889590640565,0.0569200585481686,0.970900829232982,1,"M",0,1,8,"N",4.25,"Breakfast"
"Original 128",0.224887918553575,0.131975524244666,0.466246759765776,0.413616870001532,1,"M",1,0,1,"N",4.25,"Breakfast"
"Original 129",0.162636153796502,0.057223560283521,0.991140040725131,0.967822054698567,1,"F",1,0,3,"N",3.5,"Breakfast"
"Original 13",0.37800223872247,0.0549961766180234,0.143526594735143,0.939323836326508,1,"F",1,1,1,"Y",2,"Breakfast"
"Original 130",0.392574743140915,0.110735239854884,0.55796447970861,0.700746589936906,1,"F",1,0,4,"N",3.5,"Breakfast"
"Original 131",0.0896964451713577,0.498791876512991,0.936352918992611,0.0643485630442871,1,"M",0,0,3,"N",3.5,"Breakfast"
"Original 132",0.513340065404601,0.065471818375642,0.164077297674125,0.955771363153268,1,"F",0,0,4,"N",3.5,"Breakfast"
"Original 14",0.919447541416124,0.0587373596527301,0.593112566285819,0.989045108224859,1,"F",1,1,3,"Y",2,"Breakfast"
"Original 15",0.0972646592122986,0.904292123317654,0.18214053252225,0.134777883200045,1,"M",0,1,3,"Y",2,"Breakfast"
"Original 16",0.963652563262003,0.161413469116869,0.717881498334669,0.372055905872505,1,"F",1,1,1,"Y",2,"Breakfast"
"Original 17",0.0838414494350324,0.205057444028656,0.479536401000428,0.304105625578269,0,"F",0,1,7,"Y",5,"No Breakfast"
"Original 18",0.166387791787576,0.323493285789451,0.163824210436166,0.141431770808679,0,"F",0,1,3,"Y",5,"No Breakfast"
"Original 19",0.105440156072351,0.0752183118776627,0.556397565476481,0.921023268427102,0,"F",0,1,5,"Y",5,"No Breakfast"
"Original 2",0.474558329836495,0.086546792018953,0.19506484237084,0.861849059700689,1,"F",1,1,1,"Y",4.25,"Breakfast"
"Original 20",0.385557308808728,0.0884030558662462,0.152118247547136,0.805297243280773,0,"F",0,1,5,"Y",5,"No Breakfast"
"Original 21",0.646137367007196,0.112285215502783,0.460940584143076,0.738866595068323,0,"M",0,1,6,"Y",6.25,"No Breakfast"
"Original 22",0.126041313793741,0.436636708584838,0.092976091706569,0.278085214662622,0,"M",0,1,8,"Y",6.25,"No Breakfast"
