"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Original 1",0.776375283138944,0.219041233215065,0.0762736484822915,0.919800052044979,1,"M",1,1,5,"Y",4.25,"Breakfast"
"Original 10",0.89553793234473,0.064410866150703,0.730108116626564,0.960784904715919,1,"M",1,1,1,"Y",3.5,"Breakfast"
"Original 100",0.89220237239814,0.0672636690544715,0.874218885255103,0.929884310232443,0,"F",0,1,4,"N",7.25,"No Breakfast"
"Original 101",0.597374557116626,0.106477850830155,0.228897799267767,0.6017437168208,0,"M",0,1,4,"N",6.25,"No Breakfast"
"Original 102",0.926236607728213,0.0393399634785616,0.996830917486535,0.990038890835617,0,"M",0,1,8,"N",6.25,"No Breakfast"
"Original 103",0.388192431060626,0.091190337247585,0.412066774748565,0.593175988157771,0,"F",0,1,9,"N",6.25,"No Breakfast"
"Original 104",0.436284837128564,0.0854913436519224,0.317122810267425,0.716635752589136,0,"M",0,1,4,"N",6.25,"No Breakfast"
"Original 105",0.953506912503903,0.0259445057330725,0.792162403338003,0.987992111251716,0,"M",0,1,7,"N",5.75,"No Breakfast"
"Original 106",0.92771501890391,0.0453756121721457,0.534570226717407,0.980845152903588,0,"F",0,0,7,"N",5.75,"No Breakfast"
"Original 107",0.975373330951782,0.16102881684956,0.596588563270954,0.0702221286906742,0,"M",0,0,5,"N",5.75,"No Breakfast"
"Original 108",0.864364768226862,0.150755185923289,0.337306938416117,0.556172645120607,0,"F",0,1,4,"N",5.75,"No Breakfast"
"Original 109",0.914262649620259,0.0589561290002785,0.292901088526008,0.940228109303592,0,"F",0,1,5,"N",4.75,"No Breakfast"
"Original 11",0.932502090404571,0.0378145226286059,0.970589654069607,0.982905867154811,1,"F",0,1,5,"Y",3.5,"Breakfast"
"Original 110",0.910459239589816,0.0713803601309076,0.364372251809629,0.962994989369921,0,"M",0,1,7,"N",4.75,"No Breakfast"
"Original 111",0.930582518631976,0.369317802188422,0.478595324773323,0.0643458000580338,0,"M",0,0,3,"N",4.75,"No Breakfast"
