"omega1","lambda","gamma","pbeta"
0.621785507584958,0.158508582499761,0.390376416942681,0.599673176331046
0.428595698091258,0.0623587364213553,0.332987362221021,0.966270720011616
0.77834608830455,0.20354920532812,0.0789393591971247,0.435178922164001
0.108069628489997,0.104010239892591,0.12404075568562,0.547380150468995
0.465222115546106,0.11867233021337,0.280905085839943,0.564904425602555
0.248788247400911,0.316866558370586,0.104935755369981,0.194163413835826
0.361822711041125,0.290197944217458,0.217443734685726,0.510591392216494
0.19956928238685,0.0830976807295505,0.562659238594667,0.817154785638195
0.929245192277771,0.0510549978304063,0.0377459951711674,0.990474914396507
0.319797769770568,0.0614615661560208,0.992383115294139,0.989194305844098
0.491508326275806,0.0593349359342348,0.279149662374513,0.98737924189792
0.933052021075745,0.147912917862605,0.0437469663681368,0.0450128464767805
0.123605921128275,0.0643031658728045,0.0442191048048284,0.985203556702633
0.894245596487516,0.0651061820160586,0.0692724828090154,0.966648715771749
0.936409307289936,0.111774373274411,0.0262559188805026,0.750035370940529
0.0960993007486418,0.0651117938690176,0.680449196813883,0.842262355254719
0.3151153264819,0.0591447935339161,0.0601357924755444,0.992593528812566
0.276142429528814,0.0543795331696812,0.0451807601865773,0.981307988817216
0.118433878339251,0.0611671511877539,0.0261418997424699,0.992609913759276
0.891321987432213,0.105392262960387,0.146482473982325,0.628139308021048
0.547253936892738,0.0542318268006132,0.0474117970046957,0.987330658070169
0.105772764266712,0.0624732126579113,0.0738341152540253,0.993941697453572
0.915631697564659,0.106447681705527,0.960095459795394,0.701905376708093
0.365941881433529,0.0623043851178922,0.324568908091006,0.9838259109705
0.0902651759376119,0.0580476732427916,0.0632719736342276,0.972442955709734
0.411697184592424,0.0641441099200629,0.216472621084267,0.977369242619285
0.333906493050412,0.0572094533640116,0.280690997278643,0.979792156647096
0.472144142044024,0.0548517338078841,0.0751377224364046,0.972860386795641
0.220852295158298,0.0623906352557159,0.13524589234034,0.969647690292198
0.76037643348531,0.0681743164490534,0.647239656088388,0.807734374632981
0.896918942711766,0.0987657938961391,0.651854443829527,0.792911383363803
0.909075259817768,0.0668978036811831,0.119660679205925,0.937511112490468
0.80550362120065,0.107574349041848,0.0895802796822389,0.722943116910004
0.915692992463116,0.0719541416868031,0.369148425253461,0.966439874614977
0.790262091371619,0.357426511113519,0.193764007464148,0.285065687880335
0.433849316367382,0.180226872261268,0.0737899306580262,0.463843507336771
0.114151028074578,0.0582782383239064,0.172066188973073,0.971019027068598
0.232345659203501,0.0595676090062671,0.043114670273049,0.993080660978696
0.280956636518588,0.0666509115756777,0.963338410795329,0.993962005199768
0.382511102174582,0.0611229674432918,0.193864582837115,0.990037681354593
0.893730949762815,0.0790023200794987,0.930634311494517,0.88416795092488
0.926131932302746,0.0739738065771883,0.172432179676043,0.917373760607893
0.4361652517687,0.0969942077190856,0.113797136888116,0.683769338833923
0.1673025870586,0.0541250662068768,0.784096038480284,0.983510228424128
0.183970266151684,0.091353322014925,0.0736040031567752,0.62100072765355
0.168896104673635,0.0591271041663394,0.145523931524549,0.990945022744433
0.891713508460737,0.155097415197317,0.270131749813127,0.581844680324113
0.155046887025704,0.0625483922822255,0.829181004605902,0.993007553654006
0.4359220962324,0.0597861363712298,0.983650779674784,0.991831510926781
0.438500008753056,0.0713122033153647,0.15915438273221,0.748262467294546
0.865023078596143,0.0647240363027646,0.117686430398592,0.958928357447479
0.280675169616633,0.0565995493205554,0.108656732876498,0.985911830456279
0.297842631150091,0.0671097403570557,0.673182528915719,0.955304228069369
0.527728424883633,0.0804563423688736,0.114850732508019,0.841171606009934
0.590432476951999,0.108739998668379,0.105706522775403,0.604102179800237
0.40934736959201,0.0676182452153282,0.896884096959434,0.941439615764324
0.653746214452957,0.0576973259858081,0.0746118654778653,0.93437701353203
0.547190991670046,0.0563883381094547,0.0434958387628315,0.992550127170288
0.931508128330174,0.0561262562232399,0.0361345682230277,0.983200126711736
0.086850420319972,0.0600337727392957,0.0510843529968811,0.879031120645201
0.201625140591073,0.0597355701149188,0.182271261749436,0.976476096686808
0.336533182916832,0.0593835812187576,0.0440924753486544,0.993095775989377
0.923726852559007,0.0655180639565283,0.0471042874275353,0.883648585408891
0.904062825041613,0.0546047440204185,0.0547807288040176,0.990213267504216
0.872749812250402,0.0630107154214829,0.0532836549210473,0.940598623122237
0.4141335597417,0.0620013781014793,0.0583256443005745,0.992755660707324
0.230140181198242,0.0554001868477079,0.0443920092814603,0.991762764624928
0.600459690275247,0.054930234730663,0.0852518430063447,0.991883531839422
0.305321331985301,0.0650090495668648,0.4630178693881,0.874053736764362
0.69703850570329,0.0920215605449497,0.58467763931999,0.757450477650014
0.244865085904341,0.0560157696939767,0.930844417590615,0.962421096684579
0.338998002645924,0.0672303959569052,0.803614214946579,0.968466346401337
